name,_id,run_start_time,run_end_time,status,status_message,add_diesel_generator_one_distribution_center.batt_storage_capacity,add_diesel_generator_one_distribution_center.generator,add_diesel_generator_one_distribution_center.pv_power,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,batt_discharge_power,batt_initial_charge,batt_max_soc,batt_min_soc,epw_file,meter_name,reporting_frequency,template
DOE Autogenerated 750,86ccc7ee-a10a-43e2-b47c-b2fbd183e1e2,2022-07-15T22:09:58.496Z,2022-07-15T22:12:40.499Z,completed,completed normal,30.0,42kW Diesel,10.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1759,c1b23ea0-31e0-4448-b3ef-2bd6a9456698,2022-07-15T23:12:00.139Z,2022-07-15T23:14:38.431Z,completed,completed normal,50.0,80kW Diesel,40.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1323,085ca2ee-5888-4afe-877a-833bdfa3d7b5,2022-07-15T22:45:29.266Z,2022-07-15T22:48:04.271Z,completed,completed normal,70.0,42kW Diesel,5.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1717,1590f751-9539-4f4d-84f3-87e472145766,2022-07-15T23:09:28.633Z,2022-07-15T23:12:04.475Z,completed,completed normal,20.0,42kW Diesel,40.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2389,6bb09750-d6f6-4aac-a595-0af06cad7f36,2022-07-15T23:51:13.630Z,2022-07-15T23:53:42.328Z,completed,completed normal,150.0,80kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 627,4367de4b-3651-4529-b922-7bbad9640c22,2022-07-15T22:02:36.283Z,2022-07-15T22:04:55.535Z,completed,completed normal,400.0,80kW Diesel,50.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 761,48a713d8-2e58-4885-9056-aae9c5292eb4,2022-07-15T22:11:07.966Z,2022-07-15T22:13:49.742Z,completed,completed normal,0.0,55kW Diesel,10.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1132,5e415874-f3e9-45aa-a637-79afba487ee2,2022-07-15T22:34:08.263Z,2022-07-15T22:36:44.273Z,completed,completed normal,50.0,80kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1404,87ae90a1-777c-49cb-be7a-fc474d6fb95f,2022-07-15T22:50:29.423Z,2022-07-15T22:52:58.390Z,completed,completed normal,300.0,55kW Diesel,10.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1529,65dc7bfc-1751-440a-a0ef-94d51de75f43,2022-07-15T22:58:08.517Z,2022-07-15T23:00:31.094Z,completed,completed normal,30.0,80kW Diesel,20.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2018,b09a08a0-349f-4cea-99ae-1c8b7c7b2999,2022-07-15T23:27:59.359Z,2022-07-15T23:30:36.824Z,completed,completed normal,12.5,55kW Diesel,10.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2058,21568861-9bbc-40da-afd6-f5c0ef5da08e,2022-07-15T23:30:31.860Z,2022-07-15T23:32:56.198Z,completed,completed normal,17.5,42kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2372,1c0ef91b-b501-4917-bcc1-0b639726ae3e,2022-07-15T23:50:07.308Z,2022-07-15T23:52:51.151Z,completed,completed normal,250.0,55kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2053,b5d932ce-cc7e-491d-a776-1c83fae1a7b8,2022-07-15T23:30:03.744Z,2022-07-15T23:32:46.215Z,completed,completed normal,0.0,42kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 194,60522740-96b0-4128-886a-cf793acefc3c,2022-07-15T21:39:14.997Z,2022-07-15T21:41:29.913Z,completed,completed normal,12.5,55kW Diesel,15.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
